"DispNum3","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","HiAct","HostLev","Recip","NumA","NumB","Ongo2010","StDate","EndDate","incidnum","year","loctext","latitude","longitude","onset"
2,"01","07",1902,"24","01",1903,6,1,0,7,3,0,1,1,0,"01/01/1902","24/24/1903",2001,1902,"Alaska-Canadian border",58.50917,-134.6889,1
3,"02","05",1913,"25","10",1913,4,3,0,8,3,0,1,1,0,"02/02/1913","25/25/1913",3001,1913,"Austria's border with Serbia",44.81194,20.46556,1
4,"15","05",1946,"13","11",1946,5,3,2,16,4,1,1,1,0,"15/15/1946","13/13/1946",4001,1946,"Corfu Channel",39.62,19.91972,1
7,"13","10",1951,"26","01",1952,1,3,2,17,4,1,1,1,0,"13/13/1951","26/26/1952",7001,1951,"Suez canal zone",29.91667,32.55,1
8,"01","07",1856,"14","03",1857,1,2,6,20,5,1,1,1,0,"01/01/1856","14/14/1857",8001,1856,"Iran",35.67194,51.42445,1
9,"29","12",1889,"10","01",1890,6,1,0,7,3,0,1,1,0,"29/29/1889","10/10/1890",9001,1889,"Waters off Mozambique",-25.96528,32.58917,1
11,"11","03",1938,"12","03",1938,4,1,0,14,4,0,1,1,0,"11/11/1938","12/12/1938",11001,1938,"Austrian Border",48.2,16.36667,1
12,"11","03",1938,"30","09",1938,4,1,0,16,4,1,1,5,0,"11/11/1938","30/30/1938",12001,1938,".",50.5,13,1
13,"06","04",1863,"17","08",1863,1,2,-9,15,4,0,3,1,0,"06/06/1863","17/17/1863",13001,1863,".",32.13,129.78,1
14,"15","10",1895,"31","12",1895,4,3,0,7,3,0,1,1,0,"15/15/1895","31/31/1895",14001,1895,"Constantinople",41.01861,28.96472,1
15,"01","01",1839,"23","03",1839,6,1,0,15,4,1,1,1,0,"01/01/1839","23/23/1839",15001,1839,"Maine-New Brunswick Border",45.95,-66.63333,1
16,"25","12",1897,"05","02",1898,4,3,0,7,3,0,2,2,0,"25/25/1897","05/05/1898",16001,1897,".",35.33,130.38,1
19,"15","01",1848,"23","03",1849,5,1,6,20,5,1,1,3,0,"15/15/1848","23/23/1849",19001,1848,".",46.83,11.97,1
20,"18","11",1945,"09","05",1946,3,1,0,7,3,0,1,1,0,"18/18/1945","09/09/1946",20001,1945,"Northern Iran",38.24944,48.30139,1
21,"21","11",1912,"03","12",1912,5,3,0,10,3,0,1,2,0,"21/21/1912","03/03/1912",21001,1912,".",45.89,19,1
22,"09","06",1940,"17","06",1940,1,2,-9,16,4,1,1,1,0,"09/09/1940","17/17/1940",22001,1940,"Latvia",56.95,24.1,1
23,"01","03",1939,"18","10",1939,4,1,0,13,4,0,1,1,0,"01/01/1939","18/18/1939",23001,1939,"Soviet/Estonian border",57.69556,27.46083,1
25,"02","08",1831,"02","02",1832,5,3,-9,17,4,1,1,3,0,"02/02/1831","02/02/1832",25001,1831,".",51.42,5.279,1
26,"21","03",1948,"25","07",1949,5,3,0,16,4,1,1,3,0,"21/21/1948","25/25/1949",26001,1948,".",52.52,13.38,1
27,"25","07",1961,"28","10",1961,5,3,0,17,4,1,4,4,0,"25/25/1961","28/28/1961",27001,1961,".",52.52,13.38,1
28,"19","07",1961,"05","09",1961,6,1,3,17,4,1,1,1,0,"19/19/1961","05/05/1961",28001,1961,"Bizerte,Tunisia",37.27444,9.873889,1
30,"06","10",1908,"31","03",1909,3,1,-9,17,4,1,1,1,0,"06/06/1908","31/31/1909",30001,1908,"Bosnia",43.85,18.38333,1
31,"30","05",1900,"16","08",1900,1,2,6,20,5,1,8,1,0,"30/30/1900","16/16/1900",31001,1900,".",37.33,105.7,1
38,"29","12",1837,"05","01",1838,5,3,0,16,4,1,1,1,0,"29/29/1837","05/05/1838",38001,1837,"Niagara River",43.05,-79.01667,1
40,"10","04",1928,"18","11",1928,4,1,3,17,4,1,1,1,0,"10/10/1928","18/18/1928",40001,1928,"Shantung Province Manchuria",36.66833,116.9972,1
41,"27","05",1929,"03","12",1929,8,4,6,20,5,1,1,1,0,"27/27/1929","03/03/1929",41001,1929,"Harbin, North Manchuria",45.75,126.65,1
43,"14","11",1897,"06","03",1898,1,1,0,17,4,1,1,1,0,"14/14/1897","06/06/1898",43001,1897,"Kiaochau",38.02583,110.4803,1
50,"11","02",1953,"19","01",1956,5,3,2,17,4,1,3,2,0,"11/11/1953","19/19/1956",50001,1953,".",24.61,119.9,1
51,"24","06",1950,"27","07",1953,5,1,6,20,5,1,2,15,0,"24/24/1950","27/27/1953",51001,1950,".",37.96,126.57,1
53,"22","08",1956,"23","08",1956,5,3,0,16,4,1,1,1,0,"22/22/1956","23/23/1956",53001,1956,"Taiwan Straits",24,119,1
55,"29","08",1923,"27","09",1923,3,1,0,16,4,0,1,1,0,"29/29/1923","27/27/1923",55001,1923,"Corfu",39.45333,19.91972,1
56,"15","02",1897,"15","08",1897,4,2,-9,16,4,0,6,2,0,"15/15/1897","15/15/1897",56001,1897,".",38.96,25.11,1
57,"31","05",1853,"30","03",1856,2,1,6,20,5,1,1,5,0,"31/31/1853","30/30/1856",57001,1853,".",47.88,28.93,1
61,"28","01",1962,"12","12",1962,4,1,0,16,4,1,1,2,0,"28/28/1962","12/12/1962",61001,1962,".",22.74,-75.58,1
64,"05","04",1826,"06","10",1826,4,1,0,7,3,0,1,1,0,"05/05/1826","06/06/1826",64001,1826,"Danubian Principalities",45.45,28.05,1
65,"01","07",1883,"01","07",1883,4,1,0,1,2,0,1,1,0,"01/01/1883","01/01/1883",65001,1883,"Danube region",44.81194,20.46556,1
67,"25","07",1934,"31","07",1934,5,3,0,7,3,0,3,1,0,"25/25/1934","31/31/1934",67001,1934,".",50.81,14.1,1
68,"01","01",1900,"09","02",1900,4,2,0,7,3,0,2,1,0,"01/01/1900","09/09/1900",68001,1900,".",18.67,-68.26,1
69,"25","03",1914,"29","11",1916,1,2,0,16,4,0,1,1,0,"25/25/1914","29/29/1916",69001,1914,"Dominican Republic, Puerto Plata",19.8,-70.68333,1
71,"17","01",1850,"27","04",1850,4,1,0,13,4,0,1,1,0,"17/17/1850","27/27/1850",71001,1850,"Piraeus, Greece",37.95,23.63333,1
72,"23","06",1934,"23","06",1934,4,3,0,7,3,0,1,1,0,"23/23/1934","23/23/1934",72001,1934,"Durazzo, Albania",41.32306,19.43861,1
77,"18","09",1898,"04","11",1898,4,1,0,7,3,1,1,1,0,"18/18/1898","04/04/1898",77001,1898,"Fashoda, Sudan",9.883333,32.11666,1
78,"17","07",1847,"17","01",1848,5,3,0,7,3,0,1,1,0,"17/17/1847","17/17/1848",78001,1847,"Ferrara, Papal States",46.72278,12.13417,1
86,"25","03",1907,"23","03",1908,1,3,-9,17,4,1,2,1,0,"25/25/1907","23/23/1908",86001,1907,".",33.72,-7.27,1
88,"06","07",1870,"25","02",1871,2,2,6,20,5,1,4,1,0,"06/06/1870","25/25/1871",88001,1870,".",49,8.31,1
89,"21","09",1822,"13","11",1823,1,2,6,20,5,1,4,1,0,"21/21/1822","13/13/1823",89001,1822,".",42.67,0.61,1
91,"22","05",1887,"22","05",1887,5,3,0,3,2,0,1,1,0,"22/22/1887","22/22/1887",91001,1887,"Turkey",39.935,32.86417,1
92,"18","02",1964,"29","02",1964,1,2,2,17,4,1,1,1,0,"18/18/1964","29/29/1964",92001,1964,"Libreville",0.3833333,9.45,1
95,"01","10",1909,"01","04",1910,4,1,0,7,3,0,1,1,0,"01/01/1909","01/01/1910",95001,1909,"Haitian Ports (Port-au-Prince)",18.53917,-72.335,1
96,"26","04",1886,"07","06",1886,4,3,0,13,4,0,5,1,0,"26/26/1886","07/07/1886",96001,1886,".",38.24,21.47,1
100,"13","12",1914,"09","09",1915,4,1,0,16,4,0,1,1,0,"13/13/1914","09/09/1915",100001,1914,"Haiti",18.53917,-72.335,1
104,"01","03",1880,"01","07",1880,6,1,0,7,3,1,1,1,0,"01/01/1880","01/01/1880",104001,1880,"Ili region, Xinjiang",43.87333,77.18445,1
106,"23","04",1895,"01","07",1895,4,3,0,7,3,0,3,1,0,"23/23/1895","01/01/1895",106001,1895,".",45.71,142.11,1
108,"07","04",1939,"08","04",1939,2,2,-9,14,4,0,1,1,0,"07/07/1939","08/08/1939",108001,1939,"Albania",41.3275,19.81889,1
109,"01","09",1904,"01","10",1904,5,3,0,10,3,0,1,1,0,"01/01/1904","01/01/1904",109001,1904,"Italian-Austrian Border",47,11.5,1
111,"22","11",1934,"09","05",1936,1,2,6,20,5,1,2,1,0,"22/22/1934","09/09/1936",111001,1934,".",7.05,45.4,1
